date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-06-12,379.0,236142.0,53,34167,37651.0,2784196.0,3905.6377852154915,565.1003472802707,46048.82273820765
2020-06-13,163.0,236305.0,56,34223,32880.0,2817076.0,3908.3337010584596,566.0265514962598,46592.636927881176
2020-06-14,346.0,236651.0,78,34301,29545.0,2846621.0,3914.0563199643916,567.3166216542444,47081.29234862036
2020-06-15,338.0,236989.0,44,34345,17463.0,2864084.0,3919.646623982325,568.0443535382358,47370.11920975992
2020-06-16,301.0,237290.0,26,34371,27762.0,2891846.0,3924.624971643266,568.4743769242306,47829.28494983645
2020-06-17,210.0,237500.0,34,34405,33957.0,2925803.0,3928.098237453224,569.0367151982239,48390.91203130676
2020-06-18,328.0,237828.0,43,34448,32921.0,2958724.0,3933.5231478611595,569.7479077212155,48935.40433478128
2020-06-19,331.0,238159.0,66,34514,28570.0,2987294.0,3938.9976763520945,570.8395055472024,49407.93387854565
2020-06-20,297.5,238456.5,47,34561,29875.0,3017169.0,3943.918136249536,571.6168555141932,49902.04728841477
2020-06-21,264.0,238720.5,49,34610,24581.0,3041750.0,3948.2845275534837,572.4272842031835,50308.60132115093
2020-06-22,224.0,238944.5,24,34634,16152.0,3057902.0,3951.9893444174395,572.8242288671788,50575.74508001975
2020-06-23,221.0,239165.5,23,34657,23225.0,3081127.0,3955.644543198396,573.2046341701742,50959.87173924017
2020-06-24,113.0,239278.5,18,34675,30237.0,3111364.0,3957.513490991374,573.5023426681707,51459.972397791214
2020-06-25,577.0,239855.5,-31,34644,29421.0,3140785.0,3967.05670228826,572.9896224771768,51946.57693776642
2020-06-26,296.0,240151.5,34,34678,28331.0,3169116.0,3971.952353144202,573.5519607511701,52415.15357425184
2020-06-27,255.0,240406.5,30,34708,29721.0,3198837.0,3976.1698901991517,574.0481415811643,52906.71992252699
2020-06-28,175.0,240581.5,8,34716,21183.0,3220020.0,3979.0642783741173,574.1804564691627,53257.07320658582
2020-06-29,174.0,240755.5,22,34738,15484.0,3235504.0,3981.942127188083,574.5443224111583,53513.16867230677
2020-06-30,126.0,240881.5,6,34744,28471.0,3263975.0,3984.026086674058,574.6435585771571,53984.06081933216
2020-07-01,142.0,241023.5,23,34767,29325.0,3293300.0,3986.37467593603,575.0239638801526,54469.077580651385
2020-07-02,182.0,241205.5,21,34788,29147.0,3322447.0,3989.3848396379944,575.3712904611485,54951.15033571264
2020-07-03,201.0,241406.5,30,34818,25680.0,3348127.0,3992.709251198955,575.8674712911426,55375.88112618758
2020-07-04,223.0,241629.5,15,34833,28946.0,3377073.0,3996.3975287019107,576.1155617061396,55854.62946968788
2020-07-05,235.0,241864.5,21,34854,21166.0,3398239.0,4000.284278536865,576.4628882871355,56204.70158460971
2020-07-06,192.0,242056.5,7,34861,13771.0,3412010.0,4003.459835848827,576.5786638141341,56432.465124938004
2020-07-07,208.0,242264.5,8,34869,22490.0,3434500.0,4006.9000229367857,576.7109787021325,56804.435353823574
2020-07-08,137.0,242401.5,30,34899,28679.0,3463179.0,4009.165915393759,577.2071595321266,57278.767687936925
2020-07-09,193.0,242594.5,15,34914,29947.0,3493126.0,4012.3580120667207,577.4552499471237,57774.071931798026
2020-07-10,214.0,242808.5,12,34926,27251.0,3520377.0,4015.8974353206786,577.6537222791213,58224.78605840366
2020-07-11,276.0,243084.5,12,34938,25449.0,3545826.0,4020.462298956624,577.852194611119,58645.696256487645
2020-07-12,188.0,243272.5,7,34945,23061.0,3568887.0,4023.571698824587,577.9679701381176,59027.110460504104
2020-07-13,234.0,243506.5,9,34954,14006.0,3582893.0,4027.4419092985413,578.1168243871158,59258.760750667345
2020-07-14,169.0,243675.5,13,34967,24222.0,3607115.0,4030.237061307508,578.3318360801132,59659.377152804576
2020-07-15,114.0,243789.5,17,34984,28392.0,3635507.0,4032.1225484614856,578.6130052171098,60128.96269031098
2020-07-16,162.0,243951.5,13,34997,28089.0,3663596.0,4034.8019249434537,578.8280169101073,60593.53680143445
2020-07-17,230.0,244181.5,20,35017,28661.0,3692257.0,4038.6059779734082,579.1588041301034,61067.57142704981
2020-07-18,231.0,244412.5,11,35028,27569.0,3719826.0,4042.4265703643628,579.3407371011012,61523.54507045338
2020-07-19,249.0,244661.5,14,35042,20621.0,3740447.0,4046.544871253314,579.5722881550985,61864.60323363032
2020-07-20,218.0,244879.5,3,35045,14121.0,3754568.0,4050.150451951271,579.6219062380978,62098.15555030853
2020-07-21,190.0,245069.5,13,35058,23915.0,3778483.0,4053.2929305412335,579.8369179310953,62493.694368618824
2020-07-22,128.0,245197.5,15,35073,29288.0,3807771.0,4055.409968749208,580.0850083460923,62978.09917358106
2020-07-23,280.0,245477.5,9,35082,33018.0,3840789.0,4060.040989829153,580.2338625950906,63524.195795072555
2020-07-24,306.0,245783.5,10,35092,28970.0,3869759.0,4065.102034295093,580.3992562050886,64003.341083236846
2020-07-25,252.0,246035.5,5,35097,28059.0,3897818.0,4069.269953267043,580.4819530100876,64467.41901353032
2020-07-26,274.0,246309.5,5,35102,25177.0,3922995.0,4073.801738180989,580.5646498150867,64883.83050542236
2020-07-27,254.0,246563.5,5,35107,19374.0,3942369.0,4078.002735874939,580.6473466200856,65204.26408543255
2020-07-28,168.0,246731.5,5,35112,25341.0,3967710.0,4080.7813485229062,580.7300434250847,65623.38803252856
2020-07-29,202.0,246933.5,11,35123,30875.0,3998585.0,4084.1222994448663,580.9119763960825,66134.04080339748
2020-07-30,288.0,247221.5,6,35129,33396.0,4031981.0,4088.8856354128097,581.0112125620814,66686.38930334689
2020-07-31,382.0,247603.5,3,35132,29686.0,4061667.0,4095.2036713147345,581.0608306450807,67177.37677398705
2020-08-01,379.0,247982.5,9,35141,31905.0,4093572.0,4101.47208913366,581.2096848940789,67705.06508668576
2020-08-02,295.0,248277.5,5,35146,24496.0,4118068.0,4106.351200628602,581.292381699078,68110.21327373694
2020-08-03,238.0,248515.5,8,35154,13467.0,4131535.0,4110.287568546555,581.4246965870764,68332.94884832129
2020-08-04,159.0,248674.5,12,35166,23491.0,4155026.0,4112.917326945523,581.623168919074,68721.47497756766
2020-08-05,190.0,248864.5,5,35171,29739.0,4184765.0,4116.059805535486,581.7058657240731,69213.33903434081
2020-08-06,384.0,249248.5,10,35181,32169.0,4216934.0,4122.41092015941,581.871259334071,69745.39373834347
2020-08-07,401.0,249649.5,6,35187,30392.0,4247326.0,4129.0432039203315,581.9704955000699,70248.05799784948
2020-08-08,552.0,250201.5,3,35190,26631.0,4273957.0,4138.172931192223,582.0201135830694,70688.51772063524
2020-08-09,347.0,250548.5,13,35203,22773.0,4296730.0,4143.912089459154,582.2351252760667,71065.16858868375
2020-08-10,463.0,251011.5,2,35205,10904.0,4307634.0,4151.569813602063,582.2682039980664,71245.51378102561
2020-08-11,259.0,251270.5,4,35209,22063.0,4329697.0,4155.853508101012,582.3343614420655,71610.42170276426
2020-08-12,412.0,251682.5,6,35215,27330.0,4357027.0,4162.667724832931,582.4335976080644,72062.44243888889
2020-08-13,476.0,252158.5,10,35225,25629.0,4382656.0,4170.540460668837,582.5989912180625,72486.32972195283
2020-08-14,522.0,252680.5,6,35231,24868.0,4407524.0,4179.174007110734,582.6982273840613,72897.63055129594
2020-08-15,574.0,253254.5,3,35234,25937.0,4433461.0,4188.667600324621,582.7478454670606,73326.61195754782
2020-08-16,629.0,253883.5,158,35392,22470.0,4455931.0,4199.0708583934975,585.3610645050295,73698.2513992134
2020-08-17,477.0,254360.5,4,35396,21379.0,4477310.0,4206.9601335904035,585.4272219490288,74051.8463980282
2020-08-18,320.0,254680.5,4,35400,32687.0,4509997.0,4212.252729110341,585.4933793930279,74592.46849102875
2020-08-19,401.0,255081.5,5,35405,41290.0,4551287.0,4218.885012871261,585.576076198027,75275.37870671062
2020-08-20,642.0,255723.5,7,35412,49662.0,4600949.0,4229.503282633135,585.6918517250256,76096.75645268284
2020-08-21,840.0,256563.5,6,35418,44943.0,4645892.0,4243.3963458729695,585.7910878910244,76840.084954097
2020-08-22,947.0,257510.5,9,35427,46613.0,4692505.0,4259.059120739783,585.9399421400226,77611.03418838081
2020-08-23,1071.0,258581.5,3,35430,47463.0,4739968.0,4276.7727763705725,585.9895602230221,78396.04187951447
2020-08-24,1209.0,259790.5,7,35437,33358.0,4773326.0,4296.768863819334,586.1053357500207,78947.76188374589
2020-08-25,953.0,260743.5,4,35441,45798.0,4819124.0,4312.530874852147,586.1714931940198,79705.23153881487
2020-08-26,876.0,261619.5,4,35445,58054.0,4877178.0,4327.019355087974,586.2376506380191,80665.40760229743
2020-08-27,1366.0,262985.5,13,35458,57640.0,4934818.0,4349.612122213704,586.4526623310165,81618.73637032608
2020-08-28,1409.0,264394.5,5,35463,65135.0,4999953.0,4372.916081862428,586.5353591360156,82696.02764904825
2020-08-29,1460.0,265854.5,9,35472,64294.0,5064247.0,4397.0635489221395,586.6842133850138,83759.40932516959
2020-08-30,1444.0,267298.5,1,35473,53541.0,5117788.0,4420.946386205856,586.7007527460136,84644.94325246004
2020-08-31,1365.0,268663.5,4,35477,42583.0,5160371.0,4443.5226139705865,586.7669101900128,85349.23886191467
2020-09-01,996.0,269659.5,6,35483,54395.0,5214766.0,4459.99581752639,586.8661463560117,86248.89740349895
2020-09-02,975.0,270634.5,8,35491,,,4476.121694501198,586.9984612440101,
2020-09-03,1326.0,271960.5,6,35497,,,4498.052887186937,587.0976974100089,
